analysis_fs_hz,fold,subject,scenario,channel,window,evaluation,reference_rmssd_ms,predicted_rmssd_ms,reference_hr_bpm,predicted_hr_bpm,accepted_fraction,successive_pairs_n,quality_gate,sqi,sqi_spectral,sqi_hr_agreement,sqi_coverage,sqi_prominence,sqi_concentration_raw,sqi_gate_065,sqi_gate_075,rmssd30,rmssd60,hr30,hr60,base30,base60,sqi30,sqi60,cross_fs_consistent,gate_sqi065_consistency,gate_sqi075_consistency
60.000000000,0,subject3,sit,ir,0,grouped_stable,36.177666169,25.895802496,87.591240876,87.526324479,1.000000000,85,True,0.935786793,1.000000000,0.980676936,0.988636364,0.773833872,0.824812246,True,True,25.978392267,25.895802496,87.522835257,87.526324479,True,True,0.889596655,0.935786793,True,True,True
60.000000000,0,subject3,sit,red,0,grouped_stable,36.177666169,26.130746645,87.591240876,87.309770463,1.000000000,85,True,0.904861016,1.000000000,0.882231130,0.988636364,0.748576569,0.803204542,True,True,24.605258601,26.130746645,87.261153335,87.309770463,True,True,0.889992593,0.904861016,True,True,True
60.000000000,0,subject3,sit,ir,1,grouped_stable,40.094824313,32.860066504,79.734219269,79.805350602,1.000000000,78,True,0.961520042,1.000000000,1.000000000,1.000000000,0.846080170,0.828144394,True,True,34.270714515,32.860066504,80.447135676,79.805350602,True,True,0.91275597,0.961520042,True,True,True
60.000000000,0,subject3,sit,red,1,grouped_stable,40.094824313,32.989036600,79.734219269,79.967352451,1.000000000,78,True,0.953330405,1.000000000,1.000000000,1.000000000,0.813321621,0.820800585,True,True,32.918128301,32.9890366,79.986747724,79.967352451,True,True,0.912846853,0.953330405,True,True,True
60.000000000,0,subject3,sit,ir,2,grouped_stable,41.032507438,37.572358709,77.170418006,76.800164735,1.000000000,74,True,0.885874965,1.000000000,0.868988374,0.974358974,0.700152512,0.689570682,True,True,37.820716072,37.572358709,76.991178611,76.800164735,True,True,0.839378149,0.885874965,True,True,True
60.000000000,0,subject3,sit,red,2,grouped_stable,41.032507438,38.406316239,77.170418006,77.183214150,1.000000000,74,True,0.885252561,1.000000000,0.868988374,0.974358974,0.697662896,0.689171491,True,True,39.626756033,38.406316239,76.557202319,77.18321415,True,True,0.844308681,0.885252561,True,True,True
60.000000000,0,subject3,sit,ir,3,grouped_stable,37.388388121,30.353959543,85.106382979,84.644124528,1.000000000,82,True,0.926108504,1.000000000,0.971832875,0.976744186,0.755856953,0.811874212,True,True,30.135561998,30.353959543,84.627011122,84.644124528,True,True,0.921646812,0.926108504,True,True,True
60.000000000,0,subject3,sit,red,3,grouped_stable,37.388388121,31.314250810,85.106382979,85.245600060,0.975903614,79,True,0.878148714,1.000000000,0.796198321,0.976744186,0.739652350,0.800267358,True,True,31.078140959,31.31425081,85.230379137,85.24560006,True,True,0.92391942,0.878148714,True,True,True
60.000000000,0,subject3,sit,ir,4,grouped_stable,30.613761300,25.176360798,85.106382979,84.101233110,1.000000000,82,True,0.882401885,1.000000000,0.841900853,0.976190476,0.711516212,0.846481068,True,True,25.181736928,25.176360798,84.132955748,84.10123311,True,True,0.847617335,0.882401885,True,True,True
60.000000000,0,subject3,sit,red,4,grouped_stable,30.613761300,25.183256164,85.106382979,83.933879440,1.000000000,82,True,0.928852880,1.000000000,0.972478826,1.000000000,0.742932693,0.846828642,True,True,25.158980511,25.183256164,83.92424402,83.93387944,True,True,0.89611419,0.92885288,True,True,True
