evaluation,scenario,channel,gate,windows_n,accepted_n,coverage,rmssd_n,rmssd_mae,rmssd_rmse,rmssd_bias,rmssd_pearson,rmssd_ccc,hr_n,hr_mae,hr_rmse,hr_bias,hr_pearson,hr_ccc
grouped_stable,sit,ir,gate_sqi065_consistency,60,42,0.700000000,42,5.489520265,7.482189881,-0.472804602,0.892904621,0.891513220,42,0.448506060,0.611369811,0.146928908,0.998530226,0.998404926
grouped_stable,sit,red,gate_sqi065_consistency,60,39,0.650000000,39,7.047522901,9.393465551,1.980974592,0.824820690,0.812924021,39,0.386197964,0.590483084,0.121681341,0.998442304,0.998372688
grouped_stable,sleep,ir,gate_sqi065_consistency,60,38,0.633333333,38,11.122603201,17.554778471,-5.767516530,0.526516832,0.488231703,38,0.250242102,0.378395917,-0.000474579,0.999217792,0.999216178
grouped_stable,sleep,red,gate_sqi065_consistency,60,31,0.516666667,31,12.614897600,20.363832457,-5.717899093,0.387573454,0.345255249,31,0.282614060,0.356205875,0.098661963,0.999150302,0.999072016
office_stress,office,ir,gate_sqi065_consistency,60,14,0.233333333,14,28.682126316,35.272033478,16.668230710,0.247464026,0.200516621,14,2.811376582,6.232458291,-2.422825448,0.866457801,0.837636802
office_stress,office,red,gate_sqi065_consistency,60,9,0.150000000,9,42.452632864,45.838452494,37.850529366,0.457793664,0.194761544,9,4.041451236,7.448326941,-2.870026327,0.793425738,0.749573524
grouped_stable,sit,ir,gate_sqi075_consistency,60,39,0.650000000,39,4.885248515,6.437262599,-1.412346761,0.928852607,0.923436814,39,0.390188375,0.501728696,0.134000467,0.999019189,0.998906302
grouped_stable,sit,red,gate_sqi075_consistency,60,34,0.566666667,34,6.284050097,8.712490455,0.472421154,0.857266421,0.852667365,34,0.282517378,0.405340671,0.080855196,0.999151277,0.999115757
grouped_stable,sleep,ir,gate_sqi075_consistency,60,37,0.616666667,37,11.402629270,17.789982984,-5.943980184,0.523686851,0.484821839,37,0.214801448,0.284868153,0.041716549,0.999569985,0.999558337
grouped_stable,sleep,red,gate_sqi075_consistency,60,31,0.516666667,31,12.614897600,20.363832457,-5.717899093,0.387573454,0.345255249,31,0.282614060,0.356205875,0.098661963,0.999150302,0.999072016
office_stress,office,ir,gate_sqi075_consistency,60,11,0.183333333,11,24.667666632,31.690830869,9.377254041,0.363932227,0.336832618,11,2.996652711,6.861067995,-2.757852665,0.852144854,0.810964366
office_stress,office,red,gate_sqi075_consistency,60,6,0.100000000,6,37.208691072,41.809386155,30.305535825,0.526308130,0.315281971,6,5.285102516,9.039735814,-4.274823037,0.753096297,0.661132399
