subject,channel,accepted,reference_rmssd_ms,predicted_rmssd_ms,reference_hr_bpm,predicted_hr_bpm
s1,pleth_1,True,36.673253690282856,35.49181695157768,69.60556844547577,69.65394791175827
s1,pleth_2,True,36.673253690282856,33.47054906249267,69.60556844547577,69.66839876164121
s1,pleth_3,False,36.673253690282856,47.42066641467088,69.60556844547577,70.22796480285756
s2,pleth_1,True,4.654139764677233,4.638077256044979,121.45748987854256,121.58387886993802
s2,pleth_2,True,4.654139764677233,4.7476181307005705,121.45748987854256,121.58953728057519
s2,pleth_3,True,4.654139764677233,5.18809840180436,121.45748987854256,121.19715401903797
s3,pleth_1,True,31.761957084036816,32.6661013596237,74.99999999999993,75.05423425390616
s3,pleth_2,True,31.761957084036816,32.428804388633,74.99999999999993,75.06365492004612
s3,pleth_3,True,31.761957084036816,31.69759644675222,74.99999999999993,74.72556120618441
s4,pleth_1,False,24.602200972330124,21.036930925944723,83.56545961002827,83.57535424485302
s4,pleth_2,True,24.602200972330124,19.684646676078255,83.56545961002827,83.63870440430713
s4,pleth_3,True,24.602200972330124,18.657147615129663,83.56545961002827,83.23015471798331
s5,pleth_1,True,24.505498985319285,23.549706040756913,78.53403141361254,78.67492575196697
s5,pleth_2,True,24.505498985319285,22.327025178166426,78.53403141361254,78.63738097374153
s5,pleth_3,True,24.505498985319285,22.592955307770584,78.53403141361254,78.60357721489764
s6,pleth_1,True,30.919249667480123,28.01433943527117,79.78723404255331,79.36023596792252
s6,pleth_2,True,30.919249667480123,28.27002278109442,79.78723404255331,79.72164130397299
s6,pleth_3,True,30.919249667480123,28.208074038091475,79.78723404255331,79.81555442715975
s7,pleth_1,True,53.97647929849059,44.684669460568664,64.79481641468682,64.52001252226202
s7,pleth_2,True,53.97647929849059,44.65413258610103,64.79481641468682,64.59097328910477
s7,pleth_3,True,53.97647929849059,46.266252872989064,64.79481641468682,64.67737516830535
s8,pleth_1,False,19.394359398304417,43.13671951595235,87.84773060029296,92.78955084311119
s8,pleth_2,True,19.394359398304417,27.9155480928103,87.84773060029296,88.97268036209232
s8,pleth_3,True,19.394359398304417,23.35948531064824,87.84773060029296,89.05062040078889
s9,pleth_1,True,52.29519938567908,79.53060662698854,72.28915662650586,70.0654516512304
s9,pleth_2,True,52.29519938567908,61.04520371273157,72.28915662650586,71.59281389121945
s9,pleth_3,False,52.29519938567908,53.196478066985804,72.28915662650586,71.5246263248266
s10,pleth_1,True,25.72091011980905,23.099190905110923,71.25890736342008,71.40033733713369
s10,pleth_2,True,25.72091011980905,22.776797295679824,71.25890736342008,71.39714722621767
s10,pleth_3,True,25.72091011980905,22.716333615013927,71.25890736342008,71.34992266086628
s11,pleth_1,True,34.95375095583314,29.978319665723067,67.72009029345351,67.61014269852421
s11,pleth_2,False,34.95375095583314,31.763908208660006,67.72009029345351,67.77349923902497
s11,pleth_3,True,34.95375095583314,35.56736591016475,67.72009029345351,67.58290846587293
s12,pleth_1,True,23.317768114876806,22.343009840121304,71.77033492822979,71.9134423133796
s12,pleth_2,True,23.317768114876806,21.769078872706867,71.77033492822979,71.83071672002212
s12,pleth_3,True,23.317768114876806,21.93971749040235,71.77033492822979,71.7020868081518
s13,pleth_1,True,35.31603350069464,30.054098461181933,75.00000000000027,75.05910443804865
s13,pleth_2,True,35.31603350069464,30.290399932216236,75.00000000000027,75.1837689223795
s13,pleth_3,True,35.31603350069464,30.392617945901154,75.00000000000027,75.25091436670974
s14,pleth_1,False,39.22584182228186,66.94476766304963,52.95675198587824,52.84778597972145
s14,pleth_2,True,39.22584182228186,26.43751926493991,52.95675198587824,52.93443541547629
s14,pleth_3,True,39.22584182228186,64.34933298221807,52.95675198587824,52.94850966982212
s15,pleth_1,False,44.7558302051184,,86.20689655172396,
s15,pleth_2,True,44.7558302051184,40.18271121544379,86.20689655172396,86.54124286536029
s15,pleth_3,True,44.7558302051184,43.81865432050703,86.20689655172396,86.92503639380958
s16,pleth_1,False,26.99401643099732,46.48638762805123,68.0272108843539,67.87590333281486
s16,pleth_2,True,26.99401643099732,46.73062828323323,68.0272108843539,67.86807201915268
s16,pleth_3,True,26.99401643099732,30.25704287374172,68.0272108843539,67.74385829994218
s17,pleth_1,False,53.9380736537154,43.25598337244339,78.53403141361257,78.30363535850354
s17,pleth_2,False,53.9380736537154,38.7014537543854,78.53403141361257,78.86200769948728
s17,pleth_3,True,53.9380736537154,45.534926200170496,78.53403141361257,78.73630140233449
s18,pleth_1,True,27.806953566809007,25.182824127486896,76.8245838668375,76.503719274639
s18,pleth_2,True,27.806953566809007,25.283507689926974,76.8245838668375,76.93483274328372
s18,pleth_3,True,27.806953566809007,25.200942925413717,76.8245838668375,76.68177591755584
s19,pleth_1,True,35.37937252128706,31.179524361988843,81.52173913043471,81.70850422633504
s19,pleth_2,True,35.37937252128706,31.03766064152998,81.52173913043471,81.7222804788242
s19,pleth_3,True,35.37937252128706,31.895211779741274,81.52173913043471,81.67688342006713
s20,pleth_1,True,31.799371062963125,32.867330677765054,75.56675062972288,75.15093089409753
s20,pleth_2,True,31.799371062963125,32.762895225398154,75.56675062972288,75.26971109126552
s20,pleth_3,True,31.799371062963125,33.07701272238689,75.56675062972288,75.61494646049438
s21,pleth_1,False,25.71196731403292,20.952123193385074,76.9230769230768,76.9153058540352
s21,pleth_2,True,25.71196731403292,21.402697547253265,76.9230769230768,76.80932603323507
