subject,record,channel,source_fs_hz,analysis_fs_hz,reference_rmssd_ms,reference_hr_bpm,predicted_rmssd_ms,predicted_hr_bpm,accepted_fraction,successive_pairs_n,quality_gate,sqi,sqi_spectral,sqi_hr_agreement,sqi_coverage,sqi_prominence,sqi_concentration_raw,predicted_rmssd_ms_30.0,predicted_rmssd_ms_60.0,predicted_hr_bpm_30.0,predicted_hr_bpm_60.0,quality_gate_30.0,quality_gate_60.0,sqi_30.0,sqi_60.0,frozen_gate_065,frozen_gate_075
x001,x001_standing_rest,fingerclip_ppg,256.000000000,60.000000000,3.332926407,128.000000000,29.769189231,127.139978656,0.983606557,117,True,0.887847357,0.991617280,0.968914460,0.976190476,0.614667211,0.596227776,9.226485096612322,29.769189230890092,127.63918569673517,127.13997865607676,True,True,0.7852674874405345,0.8878473569682385,False,False
x002,x002_standing_rest,fingerclip_ppg,256.000000000,60.000000000,4.892904442,120.000000000,6.292410870,119.941159684,1.000000000,116,True,0.954911207,1.000000000,1.000000000,0.983333333,0.836311493,0.811974855,6.641916249322114,6.292410869528985,119.97408762442433,119.94115968380335,True,True,0.9526657698985375,0.9549112066551155,True,True
x003,x003_standing_rest,fingerclip_ppg,256.000000000,60.000000000,24.267603856,87.272727273,20.139967852,88.166285132,0.976744186,82,True,0.950870603,1.000000000,0.980676936,0.988636364,0.834169112,0.604639738,19.978838718463503,20.139967852109315,88.22057683491923,88.16628513214596,True,True,0.902132378212166,0.9508706029077523,True,True
x004,x004_standing_rest,fingerclip_ppg,256.000000000,60.000000000,21.175874565,81.269841270,19.597788221,81.134789048,0.975609756,78,True,0.873454223,0.858625145,0.833752918,0.963855422,0.837583408,0.536381315,21.493587500179146,19.597788221038382,81.19309763694567,81.13478904803293,True,True,0.8732574799655104,0.8734542231584232,True,True
x005,x005_standing_rest,fingerclip_ppg,256.000000000,60.000000000,19.094065396,77.380352645,15.241189115,77.321190065,1.000000000,76,True,0.932613370,1.000000000,0.868988374,1.000000000,0.861465106,0.816018669,15.332192479369134,15.241189115031666,77.35565318771953,77.32119006462798,True,True,0.9556608934062887,0.9326133701527178,True,True
x006,x006_standing_rest,fingerclip_ppg,256.000000000,60.000000000,34.234491594,75.851851852,41.961229714,76.010540804,0.931506849,64,True,0.912066627,0.982030137,0.942165370,0.973684211,0.750386791,0.591913562,42.618906833673236,41.961229714311415,75.9785019711685,76.01054080372836,True,True,0.9047980335150569,0.9120666270938851,True,True
x007,x007_standing_rest,fingerclip_ppg,256.000000000,60.000000000,51.628989915,59.534883721,43.342198786,59.793957586,1.000000000,58,True,0.962860922,1.000000000,1.000000000,1.000000000,0.851443686,0.770963005,43.27162986913842,43.34219878551482,59.855261180624694,59.79395758626772,True,True,0.9630854463612813,0.9628609215978621,True,True
x008,x008_standing_rest,fingerclip_ppg,256.000000000,60.000000000,18.073996358,95.403726708,16.591663385,95.237228283,1.000000000,93,True,0.916104072,0.907963513,0.881336486,0.989583333,0.885532954,0.558583581,16.778223331770757,16.591663384546177,95.17080405000746,95.23722828282017,True,True,0.9120109423978534,0.916104071613007,True,True
x009,x009_standing_rest,fingerclip_ppg,256.000000000,60.000000000,39.235727014,75.665024631,38.291217646,75.329034200,1.000000000,73,True,0.698285472,0.604794176,0.496585304,0.906666667,0.785095742,0.422157379,38.381606338179445,38.291217645999396,75.32561251126728,75.3290342003711,True,True,0.6968750062045527,0.6982854721669124,True,False
x010,x010_standing_rest,fingerclip_ppg,256.000000000,60.000000000,27.355373274,74.202898551,27.138715112,74.263006734,1.000000000,72,True,0.943825687,1.000000000,0.904837418,1.000000000,0.870465332,0.822067780,23.56537235634245,27.138715112207528,74.1407296132734,74.26300673377342,True,True,0.9399853468403918,0.9438256874108503,True,True
x011,x011_standing_rest,fingerclip_ppg,256.000000000,60.000000000,23.786912153,88.786127168,18.593790002,88.528385180,1.000000000,87,True,0.967279707,1.000000000,0.980676936,0.988764045,0.899677846,0.816547184,18.577420332122557,18.5937900020159,88.59417909609341,88.52838517978574,True,True,0.928013396735067,0.967279706617193,True,True
x012,x012_standing_rest,fingerclip_ppg,256.000000000,60.000000000,21.199580197,76.800000000,23.599978191,76.950172159,0.973684211,72,True,0.950561151,1.000000000,0.942165370,0.987012987,0.873066246,0.665826338,22.59510409394024,23.599978191096543,76.97536328881334,76.95017215942478,True,True,0.9089866699974407,0.9505611506621936,True,True
x013,x013_standing_rest,fingerclip_ppg,256.000000000,60.000000000,7.485611307,122.880000000,7.614528677,122.857223161,1.000000000,120,True,0.884184823,1.000000000,0.661137724,0.983606557,0.891995010,0.854702649,7.268671214194906,7.614528677282872,122.94269287324069,122.85722316065686,True,True,0.9663019475063916,0.8841848229153806,True,True
